Alt,Bar,Fri,Hun,Pat,Price,Rain,Res,Type,Est,Y
Yes,No,No,Yes,Some,$$$,No,Yes,French,0_10,Yes
Yes,No,No,Yes,Full,$,No,No,Thai,30_60,No
No,Yes,No,No,Some,$,No,No,Burger,0_10,Yes
Yes,No,Yes,Yes,Full,$,Yes,No,Thai,10_30,Yes
Yes,No,Yes,No,Full,$$$,No,Yes,French,>60,No
No,Yes,No,Yes,Some,$$,Yes,Yes,Italian,0_10,Yes
No,Yes,No,No,None,$,Yes,No,Burger,0_10,No
No,No,No,Yes,Some,$$,Yes,Yes,Thai,0_10,Yes
No,Yes,Yes,No,Full,$,Yes,No,Burger,>60,No
Yes,Yes,Yes,Yes,Full,$$$,No,Yes,Italian,10_30,No
No,No,No,No,None,$,No,No,Thai,0_10,No
Yes,Yes,Yes,Yes,Full,$,No,No,Burger,30_60,Yes