CANTON,ACCION CIUDADANA,RESTAURACION NACIONAL,VOTOS NULOS,VOTOS BLANCOS
SAN JOSE,92639,62892,1393,315
ESCAZU,21375,11489,397,92
DESAMPARADOS,64700,45303,856,171
PURISCAL,15003,4765,148,48
TARRAZU,6106,1881,59,23
ASERRI,19091,9757,247,48
MORA,10115,4689,143,35
GOICOECHEA,38075,24711,495,127
SANTA ANA,16866,8245,229,45
ALAJUELITA,16677,15720,269,46
VAZQUEZ DE CORONADO,24868,14473,322,65
ACOSTA,8253,2733,94,26
TIBAS,24936,14048,319,71
MORAVIA,21699,10874,278,51
MONTES DE OCA,22960,8223,277,59
TURRUBARES,1900,865,22,7
DOTA,3066,693,31,16
CURRIDABAT,22449,12316,359,71
PEREZ ZELEDON,38275,32237,781,248
LEON CORTES CASTRO,4811,1319,44,17
ALAJUELA,82890,54408,1083,224
SAN RAMON,30743,14207,442,109
GRECIA,26401,16359,386,108
SAN MATEO,2050,962,23,5
ATENAS,10322,4644,97,39
NARANJO,14938,7582,179,58
PALMARES,15474,6146,179,37
POAS,10395,5640,116,27
OROTINA,5694,3613,52,16
SAN CARLOS,35224,36809,678,195
ZARCERO,5039,1766,75,30
VALVERDE VEGA,6316,3817,78,15
UPALA,6054,8913,164,42
LOS CHILES,2630,3591,51,17
GUATUSO,2112,4060,76,14
CARTAGO,72304,19671,879,210
PARAISO,26696,8139,274,53
LA UNION,31815,17934,461,115
JIMENEZ,6512,2213,69,12
TURRIALBA,26821,11868,374,79
ALVARADO,6078,1535,59,22
OREAMUNO,21444,5422,257,65
EL GUARCO,19716,5097,237,51
HEREDIA,47822,21916,499,126
BARVA,17615,7500,193,47
SANTO DOMINGO,17936,7886,215,47
SANTA BARBARA,12753,6716,123,46
SAN RAFAEL,17955,7845,216,30
SAN ISIDRO,8591,3193,101,33
BELEN,10790,3345,99,24
FLORES,9235,3469,114,23
SAN PABLO,11434,4996,97,23
SARAPIQUI,7910,11953,184,60
LIBERIA,14574,11212,196,25
NICOYA,15172,9735,284,53
SANTA CRUZ,14825,8585,270,33
BAGACES,4596,3497,60,12
CARRILLO,7576,5958,123,18
CAÃ‘AS,5834,5307,87,20
ABANGARES,4583,3486,82,18
TILARAN,6187,3991,66,11
NANDAYURE,3414,2103,57,15
LA CRUZ,2913,3408,47,13
HOJANCHA,2922,1121,34,7
PUNTARENAS,23418,25958,404,77
ESPARZA,7407,7159,129,28
BUENOS AIRES,6474,10132,223,63
MONTES DE ORO,3759,3207,57,12
OSA,4183,7478,123,24
QUEPOS,4838,6159,80,20
GOLFITO,6007,8852,195,36
COTO BRUS,8728,8142,215,57
PARRITA,3123,3718,69,14
CORREDORES,6286,11477,178,54
GARABITO,3532,2587,65,17
LIMON,12619,22695,562,97
POCOCI,22648,32403,463,81
SIQUIRRES,8048,14338,262,53
TALAMANCA,2943,6994,165,26
MATINA,2991,8675,147,24
GUACIMO,6028,10494,155,35
